عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
مبنی,1938,1149,principle,لحاظ (0.66),واژه‌ی جدید
صورت,2470,1132,object,وجه (0.78),واژه‌ی جدید
ندارد,2092,1124,action,عدم حضور (0.69),واژه‌ی جدید
دادگاه با,1550,1121,action,ورود به دادگاه (0.78),واژه‌ی جدید
از ابلاغ,1318,1110,concept,اطلاق (0.67),واژه‌ی جدید
داده,2493,1109,role,ديان (0.65),واژه‌ی جدید
مبنی بر,1834,1104,principle,طبق قانون (0.75),واژه‌ی جدید
رأی صادره,1675,1102,concept,نظر دادگاه (0.76),واژه‌ی جدید
بدوی,2222,1100,object,دیه (0.56),واژه‌ی جدید
دعوی خواهان,1735,1090,role,اصحاب دعوی (0.87),واژه‌ی جدید
عنایت,1600,1069,concept,وصایت (0.72),واژه‌ی جدید
اعلام می,1608,1065,object,اعلامیه حراج (0.72),واژه‌ی جدید
ارائه,1873,1054,action,پیشنهاد (0.78),واژه‌ی جدید
فوق,2022,1053,concept,تجاوز (0.65),واژه‌ی جدید
روز پس,1208,1048,action,طی نامه (0.57),واژه‌ی جدید
دلیل,1713,1043,concept,علت (0.91),alias پیشنهادی برای «علت»
مراتب,1500,1041,action,طبقه‌بندی (0.60),واژه‌ی جدید
با عنایت,1522,1037,principle,طبق قانون (0.71),واژه‌ی جدید
عنایت به,1516,1037,concept,وصایت (0.70),واژه‌ی جدید
مقررات,1776,1036,action,وضع مقررات (0.82),واژه‌ی جدید
نشده,1802,1027,concept,غیرمستند (0.67),واژه‌ی جدید
محاکم,1369,1019,action,محاکمه (0.83),واژه‌ی جدید
ریال,3389,1017,object,واحد پول (0.67),واژه‌ی جدید
اوراق,1407,1011,object,اوراق قرضه (0.82),واژه‌ی جدید
های,2722,1008,concept,هبه (0.69),واژه‌ی جدید
مطالبه,2586,991,object,طلب (0.78),واژه‌ی جدید
می گردد,1871,989,action,رجوع (0.67),واژه‌ی جدید
از تاریخ,1806,988,concept,خارج از موضوع (0.65),واژه‌ی جدید
مطابق,1687,983,principle,طبق قانون (0.82),واژه‌ی جدید
مبلغ,3336,981,action,پرداخت (0.72),واژه‌ی جدید
مدنی,1585,974,principle,حقوق مدنی (0.79),واژه‌ی جدید
حقوقی تهران,1703,965,object,خدمات حقوقی (0.70),واژه‌ی جدید
صادره حضوری,1012,964,action,صادر کردن گواهی (0.72),واژه‌ی جدید
به شرح,1828,960,principle,طبق قانون (0.66),واژه‌ی جدید
خواهان را,1203,948,object,طلب (0.76),واژه‌ی جدید
به پرداخت,2029,940,action,پرداخت (0.89),alias پیشنهادی برای «پرداخت»
تهران که,1006,939,principle,لحاظ (0.54),واژه‌ی جدید
فرزند,3277,928,role,کودک (0.78),واژه‌ی جدید
تقاضای,2022,927,object,طلب (0.83),واژه‌ی جدید
درخواست,1823,920,object,طلب (0.88),alias پیشنهادی برای «طلب»
تجدیدنظرخواسته,1384,916,concept,تجدیدنظر (0.86),واژه‌ی جدید
اظهارات,1665,914,object,اظهارنامه (0.77),واژه‌ی جدید
در تاریخ,2839,914,role,مضمون (0.65),واژه‌ی جدید
عنوان,2024,911,role,مضمون (0.74),واژه‌ی جدید
در پرونده,1425,910,object,پرونده (0.82),واژه‌ی جدید
اجرای,2056,904,concept,زمان اجرا (0.77),واژه‌ی جدید
اساس,1412,900,object,اساسنامه (0.73),واژه‌ی جدید
نمی باشد,1441,898,action,نفی (0.65),واژه‌ی جدید
انجام,2297,892,concept,ایجاد تعهد (0.72),واژه‌ی جدید
تقدیمی,1347,891,action,عرضه (0.67),واژه‌ی جدید
نبوده,1473,877,concept,نبود صلاحیت (0.66),واژه‌ی جدید
وجود,1576,875,concept,ظهور (0.67),واژه‌ی جدید
رسمی,3020,874,concept,رسمیت (0.72),واژه‌ی جدید
به مواد,1076,871,principle,طبق قانون (0.62),واژه‌ی جدید
ادعای,1587,870,concept,ادعا (0.89),alias پیشنهادی برای «ادعا»
سوی,1662,868,concept,سب (0.58),واژه‌ی جدید
تقدیم,1868,864,concept,تبرع (0.73),واژه‌ی جدید
حکم بر,1412,864,object,حکم (0.87),alias پیشنهادی برای «حکم»
خواهی,1844,863,object,طلب (0.71),واژه‌ی جدید
ایراد,1373,860,action,ایقاع (0.63),واژه‌ی جدید
حسب,1519,859,principle,طبق قانون (0.79),واژه‌ی جدید
بند,1935,857,action,توقیف (0.68),واژه‌ی جدید
دو,1950,855,role,ديان (0.61),واژه‌ی جدید
امور,1538,854,concept,احوال (0.67),واژه‌ی جدید
اول,2244,853,role,مباشر (0.65),واژه‌ی جدید
موجب آن,899,850,concept,سبب (0.78),واژه‌ی جدید
اقدام,1675,848,action,تصرف (0.74),واژه‌ی جدید
از سوی,1547,846,principle,طبق قانون (0.69),واژه‌ی جدید
اند,2368,843,object,سند (0.59),واژه‌ی جدید
کشور,2104,839,role,دولت (0.70),واژه‌ی جدید
ظرف بیست,1008,832,principle,طبق قانون (0.62),واژه‌ی جدید
علی,1203,824,role,ولی (0.61),واژه‌ی جدید
غیر,1417,817,concept,غیرمستقل (0.85),واژه‌ی جدید
وکالت آقای,1325,816,concept,وکالت (0.75),واژه‌ی جدید
چنین,1380,815,object,عین (0.64),واژه‌ی جدید
ننموده,1098,814,concept,نحله (0.64),واژه‌ی جدید
واقع,1465,811,object,قضیه (0.73),واژه‌ی جدید
بودن,1540,808,concept,صالح بودن (0.72),واژه‌ی جدید
سال,2305,807,concept,شرکت (0.66),واژه‌ی جدید
خسارات,1460,806,concept,خسارت (0.87),alias پیشنهادی برای «خسارت»
دادنامه تجدیدنظرخواسته,1189,805,action,تجدید دادرسی (0.75),واژه‌ی جدید
توسط,1478,804,principle,طبق قانون (0.71),واژه‌ی جدید
نداشته,1329,797,concept,نبود صلاحیت (0.65),واژه‌ی جدید
نقض دادنامه,961,796,action,نقض (0.79),واژه‌ی جدید
به مراتب,968,795,principle,لحاظ (0.66),واژه‌ی جدید
در محاکم,900,792,action,محاکمه (0.78),واژه‌ی جدید
موجه,1004,792,role,موجر (0.68),واژه‌ی جدید
امر,1468,786,concept,اماره (0.65),واژه‌ی جدید
اظهار,2048,785,object,اظهارنامه (0.83),واژه‌ی جدید
خانواده,1784,784,concept,رابطه خانوادگی (0.79),واژه‌ی جدید
طی,1846,776,action,طی نامه (0.81),واژه‌ی جدید
تعیین,1788,773,concept,حق تعیین (0.83),واژه‌ی جدید
صادر شده,1125,765,role,صادرکننده (0.74),واژه‌ی جدید
مدت,1500,763,concept,بذل مدت (0.75),واژه‌ی جدید
ملاحظه,1051,762,principle,ملاحظه قانونی (0.83),واژه‌ی جدید
انقلاب,1239,762,object,حق‌التحریر (0.63),واژه‌ی جدید
عمل,1230,761,concept,عهد عمل (0.76),واژه‌ی جدید
دیوان,2012,760,role,دیوان عدالت اداری (0.71),واژه‌ی جدید
زوجه,6800,757,concept,نفقه (0.70),واژه‌ی جدید
قسمت,1364,756,object,قضیه (0.72),واژه‌ی جدید
اصل,1459,754,concept,اصیل (0.75),واژه‌ی جدید
نامه,2589,750,action,طی نامه (0.79),واژه‌ی جدید
به شماره,1307,750,object,شماره پرونده (0.76),واژه‌ی جدید
خواهان صادر,848,748,action,صادر کردن حکم (0.72),واژه‌ی جدید
بین,1345,744,concept,بینونت (0.63),واژه‌ی جدید
ضمن رد,823,744,action,رد (0.81),واژه‌ی جدید
در حق,1102,742,concept,حق (0.78),واژه‌ی جدید
طبق,1387,742,principle,طبق قانون (0.85),واژه‌ی جدید
این رأی,905,737,object,رأی (0.82),واژه‌ی جدید
می شود,1290,735,concept,مظنه (0.65),واژه‌ی جدید
بابت,1740,732,principle,لحاظ (0.72),واژه‌ی جدید
زمان,1517,727,concept,زمان اجرا (0.70),واژه‌ی جدید
خوانده به,1111,726,action,فراخواندن (0.62),واژه‌ی جدید
احراز,1098,721,action,احراز هویت (0.81),واژه‌ی جدید
نظریه,1682,719,concept,نظریه مشورتی (0.76),واژه‌ی جدید
عالی,1667,716,role,صاحب‌حق (0.63),واژه‌ی جدید
بنا,1003,716,object,نام (0.61),واژه‌ی جدید
در دادگاه,886,715,action,ورود به دادگاه (0.82),واژه‌ی جدید
زوج,5148,714,concept,ازدواج (0.70),واژه‌ی جدید
رعایت,1034,710,principle,رعایت حقوق (0.86),واژه‌ی جدید
به محتویات,844,702,role,مضمون (0.69),واژه‌ی جدید
ای,1463,698,role,مضمون (0.65),واژه‌ی جدید
مطروحه,1062,695,concept,مضاربه (0.61),واژه‌ی جدید
طرفیت آقای,865,692,role,صاحب‌نظر (0.64),واژه‌ی جدید
تجدید,1692,691,action,تجدید نظر (0.82),واژه‌ی جدید
حاضر,1302,689,role,مخاطب (0.67),واژه‌ی جدید
تهران می,755,687,role,شهرداری (0.56),واژه‌ی جدید
رای صادره,1010,686,concept,نظر دادگاه (0.78),واژه‌ی جدید
از دادنامه,872,683,action,طی روند دادرسی (0.72),واژه‌ی جدید
ناحیه,1191,682,object,محل (0.66),واژه‌ی جدید
حضور,1391,682,action,عدم حضور (0.79),واژه‌ی جدید
بر اساس,963,680,principle,طبق قانون (0.79),واژه‌ی جدید
گرفته,1116,679,action,گرفتن (0.83),واژه‌ی جدید
در مورد,1324,678,concept,خارج از موضوع (0.73),واژه‌ی جدید
ایشان,1748,676,role,موصی له (0.61),واژه‌ی جدید
میلیون,1881,676,object,واحد پول (0.63),واژه‌ی جدید
عالی کشور,1506,671,principle,قضائی (0.57),واژه‌ی جدید
کند,1386,670,role,هیات (0.57),واژه‌ی جدید
دلیلی,875,670,object,دلایل توجیهی (0.74),واژه‌ی جدید
در امور,927,666,principle,طبق قانون (0.67),واژه‌ی جدید
دیوان عالی,1548,666,role,دیوان عدالت اداری (0.89),alias پیشنهادی برای «دیوان عدالت اداری»
مورخه,1405,666,action,تقویم (0.69),واژه‌ی جدید
معترض,971,665,action,اعتراض (0.89),alias پیشنهادی برای «اعتراض»
بی,989,665,role,بی‌طرف (0.64),واژه‌ی جدید
استناد به,888,664,action,ارجاع (0.73),واژه‌ی جدید
همان,1072,663,concept,هم‌راهی (0.65),واژه‌ی جدید
به لحاظ,1108,663,principle,لحاظ (0.84),واژه‌ی جدید
در جلسه,1008,662,object,جلسه (0.90),alias پیشنهادی برای «جلسه»
تشکیل,1271,661,action,تأسیس (0.73),واژه‌ی جدید
خصوص دعوی,753,661,concept,دعوی (0.80),واژه‌ی جدید
موازین,792,658,principle,موازنه (0.62),واژه‌ی جدید
هیچ,1092,656,action,نفی (0.59),واژه‌ی جدید
مفاد,1010,655,concept,منافع اقتصادی (0.77),واژه‌ی جدید
صادر گردیده,775,655,action,صادر کردن گواهی (0.71),واژه‌ی جدید
دوم,1609,653,action,داوری (0.56),واژه‌ی جدید
خواهد,984,650,concept,تمایل (0.62),واژه‌ی جدید
بدون,1092,646,concept,غیرمستقل (0.72),واژه‌ی جدید
دادخواست تقدیمی,772,644,object,دادخواست (0.86),واژه‌ی جدید
طرح,1189,641,action,پیشنهاد (0.65),واژه‌ی جدید
بطرفیت,942,641,role,بی‌طرف (0.76),واژه‌ی جدید
را وارد,730,636,action,ورود اطلاعات (0.78),واژه‌ی جدید
گزارش,1099,632,action,گزارش‌گیری (0.84),واژه‌ی جدید
از ناحیه,1058,631,principle,طبق قانون (0.66),واژه‌ی جدید
قابل تجدیدنظرخواهی,682,628,concept,قابل تجدیدنظر (0.97),alias پیشنهادی برای «قابل تجدیدنظر»
مشترک,2179,626,concept,فصل مشترک (0.76),واژه‌ی جدید
ارسال,1091,622,action,نقل (0.71),واژه‌ی جدید
توضیح,864,620,object,دلایل توجیهی (0.77),واژه‌ی جدید
رد دعوی,946,620,concept,دعوی نفی مالکیت (0.77),واژه‌ی جدید
ثابت,803,620,object,ثابت‌نامه (0.82),واژه‌ی جدید
تجدیدنظرخواهی آقای,652,619,concept,تجدیدنظر (0.80),واژه‌ی جدید
درخصوص,1071,616,principle,طبق قانون (0.74),واژه‌ی جدید
