عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
اول دادگاه,452,245,action,ورود به دادگاه (0.70),واژه‌ی جدید
اشاره,342,245,action,ارجاع (0.78),واژه‌ی جدید
صورت گرفته,313,245,action,مأخوذ (0.69),واژه‌ی جدید
جریان,340,244,object,قضیه (0.64),واژه‌ی جدید
نخواهد,307,244,concept,تمایل (0.60),واژه‌ی جدید
با رد,263,244,action,رد (0.85),واژه‌ی جدید
تجدیدنظراستان,283,244,concept,تجدیدنظر (0.80),واژه‌ی جدید
دانگ,846,244,role,ديان (0.62),واژه‌ی جدید
اتهام,689,243,concept,ادعا (0.81),واژه‌ی جدید
توضیحات,293,243,object,دلایل توجیهی (0.75),واژه‌ی جدید
به زوجه,422,243,role,موصی له (0.64),واژه‌ی جدید
وجود ندارد,292,242,action,عدم حضور (0.72),واژه‌ی جدید
نحوه,343,242,action,نحوه رسیدگی (0.74),واژه‌ی جدید
نمودن,344,242,action,یافتن (0.69),واژه‌ی جدید
ردیف دوم,552,242,action,رد (0.62),واژه‌ی جدید
گیرد,308,242,action,گرفتن (0.71),واژه‌ی جدید
ید,615,242,action,خلع ید (0.75),واژه‌ی جدید
زن,433,242,concept,زنا (0.81),واژه‌ی جدید
اند که,326,241,concept,عده (0.65),واژه‌ی جدید
بین طرفین,322,240,action,طی تفاهم (0.71),واژه‌ی جدید
به میزان,353,240,principle,طبق قانون (0.71),واژه‌ی جدید
را ایجاب,247,240,action,ایجاب (0.82),واژه‌ی جدید
به تاریخ,434,240,principle,طبق قانون (0.63),واژه‌ی جدید
در نتیجه,306,240,concept,علت (0.67),واژه‌ی جدید
چرا,315,240,concept,علت (0.81),واژه‌ی جدید
عدم امکان,568,239,concept,غیرممکن (0.83),واژه‌ی جدید
استدلال دادگاه,257,239,action,استدلال (0.83),واژه‌ی جدید
حکایت از,297,239,action,ذکر (0.62),واژه‌ی جدید
بر صدور,255,239,action,صادر کردن حکم (0.72),واژه‌ی جدید
وی را,307,239,role,موصی له (0.61),واژه‌ی جدید
تهران به,395,238,action,گرفتن (0.54),واژه‌ی جدید
به وی,311,238,object,موصى به (0.64),واژه‌ی جدید
ادعای خواهان,300,238,concept,ادعا (0.82),واژه‌ی جدید
مقابل,289,237,concept,لامقابل (0.73),واژه‌ی جدید
اعلام شده,310,237,concept,اقرار (0.68),واژه‌ی جدید
رئیس شعبه,254,237,role,رئیس دادگاه (0.75),واژه‌ی جدید
آنکه,326,237,role,شخص ثالث (0.62),واژه‌ی جدید
منظور,296,236,concept,مقصود (0.75),واژه‌ی جدید
تجدیدنظراستان تهران,270,236,concept,تجدیدنظر (0.73),واژه‌ی جدید
تهران می‌باشد,260,236,object,یادداشت (0.57),واژه‌ی جدید
قراردادی,481,235,object,قرارداد (0.90),alias پیشنهادی برای «قرارداد»
خدشه,258,235,concept,ضایعه (0.74),واژه‌ی جدید
وی به,271,235,role,موصی له (0.68),واژه‌ی جدید
پزشکی قانونی,855,235,principle,قانونی (0.67),واژه‌ی جدید
بر عدم,270,235,action,عدم حضور (0.69),واژه‌ی جدید
از رسیدگی,248,234,action,رسیدگی (0.88),alias پیشنهادی برای «رسیدگی»
بعنوان,436,234,principle,طبق قانون (0.68),واژه‌ی جدید
شقوق,238,234,concept,شراکت (0.60),واژه‌ی جدید
توضیح داده,276,234,object,دلایل توجیهی (0.70),واژه‌ی جدید
رو,297,233,role,راشی (0.61),واژه‌ی جدید
این پرونده,279,233,object,پرونده (0.76),واژه‌ی جدید
واقع شده,315,233,action,وضع (0.68),واژه‌ی جدید
دادرسی به,271,233,concept,دادرسی (0.86),واژه‌ی جدید
به عدم,276,233,action,عدم حضور (0.69),واژه‌ی جدید
نمی‌باشد,349,233,action,نفی (0.65),واژه‌ی جدید
اعتراض در,254,232,action,اعتراض (0.90),alias پیشنهادی برای «اعتراض»
رسمی شماره,517,232,object,شماره پرونده (0.72),واژه‌ی جدید
دارند,324,232,action,گرفتن (0.66),واژه‌ی جدید
باقی,296,231,role,ولی (0.58),واژه‌ی جدید
میلیون تومان,512,231,object,واحد پول (0.67),واژه‌ی جدید
داد,454,230,concept,دادرسی (0.74),واژه‌ی جدید
بی حقی,340,230,concept,بی‌تکلیفی (0.77),واژه‌ی جدید
حساب,481,230,action,گشایش حساب (0.81),واژه‌ی جدید
در حال,339,229,concept,شخص (0.72),واژه‌ی جدید
تجدیدنظرخواهی دادنامه,230,229,action,تجدید دادرسی (0.81),واژه‌ی جدید
هرگونه,284,228,concept,لازمه (0.62),واژه‌ی جدید
پرونده در,291,228,object,پرونده (0.87),واژه‌ی جدید
دادنامه صادره,303,228,object,اظهارنامه (0.71),واژه‌ی جدید
خریداری,319,228,role,خریدار (0.83),واژه‌ی جدید
یکدیگر,309,228,action,همکاری (0.68),واژه‌ی جدید
حاضر به,333,228,action,پیشنهاد (0.69),واژه‌ی جدید
بدوی را,256,228,role,موصی له (0.54),واژه‌ی جدید
رسیده,297,227,object,رسید (0.86),واژه‌ی جدید
رفع,408,227,action,وضع (0.68),واژه‌ی جدید
در جهت,307,226,concept,جهت‌گیری (0.74),واژه‌ی جدید
زوجه را,376,226,concept,نفقه (0.60),واژه‌ی جدید
مطالب,328,226,role,مضمون (0.79),واژه‌ی جدید
اینکه خواهان,244,226,object,طلب (0.75),واژه‌ی جدید
ثالثاً,270,226,role,ثالث (0.74),واژه‌ی جدید
اولیه,342,226,concept,مشروط (0.62),واژه‌ی جدید
اشعار,262,226,concept,احوال (0.60),واژه‌ی جدید
تعهدات,479,225,concept,تعهد (0.89),alias پیشنهادی برای «تعهد»
املاک,485,225,object,شماره املاک (0.77),واژه‌ی جدید
اینجانب,522,225,object,یادداشت (0.71),واژه‌ی جدید
وی در,271,225,role,موصی له (0.64),واژه‌ی جدید
تسلیم,385,225,concept,تعهد (0.68),واژه‌ی جدید
نیامده,239,225,action,عدم حضور (0.66),واژه‌ی جدید
اظهارات طرفین,262,225,object,دفاعیات (0.65),واژه‌ی جدید
دعوی به,258,225,concept,دعوی (0.89),alias پیشنهادی برای «دعوی»
آنها,390,225,role,اهل (0.60),واژه‌ی جدید
باستناد,352,224,action,استنابه (0.61),واژه‌ی جدید
حمایت,333,224,action,پشتیبانی (0.84),واژه‌ی جدید
زوجه از,343,224,concept,ازدواج (0.60),واژه‌ی جدید
حوزه,330,224,concept,زمینه حقوقی (0.61),واژه‌ی جدید
که موجب,257,224,concept,سبب (0.78),واژه‌ی جدید
میباشد,402,223,principle,طبق قانون (0.62),واژه‌ی جدید
ساله,402,223,concept,عده (0.61),واژه‌ی جدید
اجرای حکم,322,223,action,نحوه اجرای حکم (0.88),alias پیشنهادی برای «نحوه اجرای حکم»
منوط,273,223,object,منقول (0.67),واژه‌ی جدید
فرعی از,434,223,object,فرع ملک (0.67),واژه‌ی جدید
کتبی,263,222,object,شهادت کتبی (0.76),واژه‌ی جدید
تحقیق,447,222,action,پژوهش (0.84),واژه‌ی جدید
دعوی تجدیدنظرخواه,230,222,object,رای تجدیدنظر (0.82),واژه‌ی جدید
اینکه خوانده,247,222,concept,استقراء (0.62),واژه‌ی جدید
کرده اند,317,222,concept,عده (0.65),واژه‌ی جدید
قبلی,390,222,action,پیش‌دستی (0.64),واژه‌ی جدید
رابطه زوجیت,268,222,concept,رابطه خانوادگی (0.77),واژه‌ی جدید
به تمکین,497,222,action,تمکین (0.89),alias پیشنهادی برای «تمکین»
شور قرائت,225,221,action,گوش به زنگ بودن (0.60),واژه‌ی جدید
که خوانده,262,221,role,موصی له (0.56),واژه‌ی جدید
قطعه,504,221,object,پرونده (0.67),واژه‌ی جدید
ده,353,221,object,دیه (0.66),واژه‌ی جدید
دستگاه,435,220,object,عقار (0.72),واژه‌ی جدید
محقق,280,220,action,پژوهش (0.67),واژه‌ی جدید
نگرفته,270,220,role,مبطل (0.65),واژه‌ی جدید
بطرفیت آقای,256,220,principle,بی‌طرفی (0.70),واژه‌ی جدید
انجام شده,321,220,action,ایفای تعهد (0.69),واژه‌ی جدید
نداشته است,289,220,action,عدم حضور (0.71),واژه‌ی جدید
قاعده,321,220,principle,قوانین (0.67),واژه‌ی جدید
منعکس,311,219,concept,منافی (0.70),واژه‌ی جدید
متعلق به,321,219,role,وابسته (0.68),واژه‌ی جدید
می‌شود,420,219,concept,مظنه (0.65),واژه‌ی جدید
شکلی,244,218,concept,نوع جرم (0.54),واژه‌ی جدید
توضیح که,241,217,object,دلایل توجیهی (0.70),واژه‌ی جدید
مدت بیست,246,217,concept,بذل مدت (0.67),واژه‌ی جدید
حاکی,282,217,role,شاکی (0.70),واژه‌ی جدید
برگ,471,217,object,مدرک (0.57),واژه‌ی جدید
نزد,329,217,principle,طبق قانون (0.61),واژه‌ی جدید
تجدیدنظر خوانده,407,217,concept,تجدیدنظر (0.83),واژه‌ی جدید
دایر,277,216,role,ديان (0.69),واژه‌ی جدید
ارجاع گردیده,286,216,action,ارجاع (0.86),واژه‌ی جدید
تحقیقات,399,216,action,پژوهش (0.80),واژه‌ی جدید
براساس,301,216,principle,طبق قانون (0.78),واژه‌ی جدید
اشخاص,345,216,role,اشخاص حقیقی (0.89),alias پیشنهادی برای «اشخاص حقیقی»
خواهان اظهار,260,215,object,طلب (0.75),واژه‌ی جدید
تقاضای رسیدگی,259,215,action,رسیدگی (0.84),واژه‌ی جدید
علاوه بر,270,215,principle,طبق قانون (0.62),واژه‌ی جدید
با بررسی,236,215,action,بررسی (0.81),واژه‌ی جدید
زوج در,362,215,concept,ازدواج (0.68),واژه‌ی جدید
باتوجه,324,214,principle,طبق قانون (0.74),واژه‌ی جدید
را دارم,312,214,concept,شخص (0.67),واژه‌ی جدید
نفر,380,214,concept,شخص (0.72),واژه‌ی جدید
خواندگان به,334,214,role,اصحاب دعوی (0.66),واژه‌ی جدید
داند,247,214,role,ديان (0.62),واژه‌ی جدید
همراه,309,214,role,شریک (0.67),واژه‌ی جدید
از آقای,298,214,concept,شخص (0.69),واژه‌ی جدید
عدم پرداخت,412,214,concept,ناقص بودن قرارداد (0.76),واژه‌ی جدید
دادگاه مستنداً,225,214,action,رسیدگی (0.73),واژه‌ی جدید
ورود,355,213,action,ورود اطلاعات (0.86),واژه‌ی جدید
هر دو,311,213,concept,همزمانی (0.58),واژه‌ی جدید
مذکور به,247,213,role,محکوم‌علیه (0.69),واژه‌ی جدید
فرجامی,324,212,action,فرجام (0.57),واژه‌ی جدید
فرزند مشترک,565,212,concept,فصل مشترک (0.72),واژه‌ی جدید
را نقض,242,212,action,نقض (0.85),واژه‌ی جدید
لهذا,241,211,concept,علت (0.70),واژه‌ی جدید
باتوجه به,317,211,principle,طبق قانون (0.74),واژه‌ی جدید
مورد اعتراض,248,211,action,اعتراض (0.90),alias پیشنهادی برای «اعتراض»
خواهان از,250,211,object,طلب (0.78),واژه‌ی جدید
اسلامی,329,211,concept,دین (0.63),واژه‌ی جدید
حل اختلاف,384,211,role,شورای حل اختلاف (0.84),واژه‌ی جدید
تجدیدنظرخواه در,226,211,concept,تجدیدنظر (0.83),واژه‌ی جدید
دادگاه تجدید,261,211,action,تجدید دادرسی (0.82),واژه‌ی جدید
زمانی,284,210,concept,زمان اجرا (0.58),واژه‌ی جدید
داشته اند,266,210,concept,عده (0.66),واژه‌ی جدید
اداره ثبت,373,210,action,ثبت (0.82),واژه‌ی جدید
قواعد دادرسی,211,210,concept,دادرسی (0.78),واژه‌ی جدید
خاص,300,210,role,گروه خاص (0.83),واژه‌ی جدید
معلوم,293,210,concept,عرف (0.72),واژه‌ی جدید
شوهر,349,210,concept,ازدواج (0.68),واژه‌ی جدید
دادنامه فرجام,366,209,action,فرجام (0.75),واژه‌ی جدید
این قسمت,328,209,concept,شخص (0.61),واژه‌ی جدید
در دادخواست,269,209,object,دادخواست (0.86),واژه‌ی جدید
عیناً تأیید,215,209,action,تأیید (0.83),واژه‌ی جدید
دادنامه بدوی,282,208,concept,دادرسی (0.65),واژه‌ی جدید
لکن,323,208,role,ولی (0.64),واژه‌ی جدید
رأی می,228,208,object,رأی (0.84),واژه‌ی جدید
مینماید,327,207,object,مایملک (0.60),واژه‌ی جدید
عبارت,318,207,principle,لحاظ (0.65),واژه‌ی جدید
رسیدگی را,252,207,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»
دادگاه های,270,207,object,شعبه دادگاه (0.75),واژه‌ی جدید
ناظر به,249,207,concept,نهاد ناظر (0.78),واژه‌ی جدید
پذیرفته,268,207,action,پذیرش (0.82),واژه‌ی جدید
محکوم می,240,207,role,محکوم‌علیه (0.81),واژه‌ی جدید
مستحق,353,207,role,صاحب‌حق (0.70),واژه‌ی جدید
مانده,246,206,concept,معلق (0.65),واژه‌ی جدید
لایحه ای,315,206,object,لایحه (0.93),alias پیشنهادی برای «لایحه»
اولا,238,206,object,موصى به (0.63),واژه‌ی جدید
محمول بر,228,206,concept,محمول (0.85),واژه‌ی جدید
مگر,243,206,principle,فقط در صورت (0.69),واژه‌ی جدید
صدور رأی,289,206,object,رأی (0.83),واژه‌ی جدید
پرداخت نفقه,537,205,concept,نفقه (0.82),واژه‌ی جدید
در لایحه,295,205,object,لایحه (0.87),واژه‌ی جدید
طور,259,205,concept,شرط (0.58),واژه‌ی جدید
که زوجه,287,205,concept,نفقه (0.62),واژه‌ی جدید
اعلام می‌نماید,248,205,object,اعلامیه حراج (0.67),واژه‌ی جدید
مردود,255,204,concept,معدوم (0.67),واژه‌ی جدید
هنگام شور,206,204,concept,طی شرایط خاص (0.62),واژه‌ی جدید
خواهد شد,236,204,concept,قابل اجرا بودن (0.60),واژه‌ی جدید
ثمن معامله,484,204,object,ثمن (0.79),واژه‌ی جدید
دادنامه مذکور,226,203,object,اظهارنامه (0.68),واژه‌ی جدید
خواهان با,232,203,object,طلب (0.77),واژه‌ی جدید
قسمتی,275,203,object,یادداشت (0.72),واژه‌ی جدید
ایجاب نماید,209,203,action,ایجاب (0.76),واژه‌ی جدید
خلاصه,270,203,action,جمع‌بندی (0.73),واژه‌ی جدید
هذا,237,203,object,تصویر (0.63),واژه‌ی جدید
مادر,463,203,role,والدین (0.72),واژه‌ی جدید
نیاورده,216,202,concept,غیراصولی (0.64),واژه‌ی جدید
مشمول,264,202,concept,مشمولین قانون (0.73),واژه‌ی جدید
در منزل,293,202,concept,شخص (0.64),واژه‌ی جدید
نحو,243,202,concept,نسب (0.62),واژه‌ی جدید
دعوی را,241,202,concept,دعوی (0.91),alias پیشنهادی برای «دعوی»
دادگاه تجدیدنظراستان,225,202,role,دیوان عدالت اداری (0.72),واژه‌ی جدید
فروشنده,491,202,role,خریدار (0.84),واژه‌ی جدید
ترک,450,202,object,ترکه (0.83),واژه‌ی جدید
رد درخواست,229,201,action,انکار (0.72),واژه‌ی جدید
با اعلام,279,201,action,طی آگهی (0.72),واژه‌ی جدید
مقرر در,278,201,action,برآورد (0.67),واژه‌ی جدید
پرونده جهت,277,201,object,پرونده (0.83),واژه‌ی جدید
طرفین در,239,201,action,طی روند دادرسی (0.68),واژه‌ی جدید
قرار ارجاع,245,200,action,ارجاع (0.81),واژه‌ی جدید
پنجاه,323,200,concept,خمس (0.78),واژه‌ی جدید
هیأت شعبه,211,200,object,شعبه دادگاه (0.74),واژه‌ی جدید
در دفتر,302,200,object,دفترخانه (0.76),واژه‌ی جدید
ترتیب,262,200,action,وضع (0.65),واژه‌ی جدید
سید,275,200,object,سند (0.61),واژه‌ی جدید
هستند,286,199,concept,عده (0.66),واژه‌ی جدید
فرجام خواه,587,199,action,فرجام (0.75),واژه‌ی جدید
دعوای خواهان,272,199,role,اصحاب دعوی (0.80),واژه‌ی جدید
خواهان بدوی,274,199,object,طلب (0.66),واژه‌ی جدید
اجرا,246,199,concept,زمان اجرا (0.76),واژه‌ی جدید
به تنظیم,398,199,action,تنظیم (0.81),واژه‌ی جدید
تاکنون,265,199,concept,پیشرفت (0.60),واژه‌ی جدید
خواستار,264,199,object,طلب (0.75),واژه‌ی جدید
مبانی,217,198,concept,زیرساخت‌های حقوقی (0.64),واژه‌ی جدید
موثر,268,198,concept,قابل اجرا بودن (0.61),واژه‌ی جدید
نبوده است,242,198,action,عدم حضور (0.66),واژه‌ی جدید
لحاظ عدم,228,198,principle,لحاظ (0.82),واژه‌ی جدید
زمین,639,198,concept,اقلیم (0.65),واژه‌ی جدید
وارده,339,197,concept,مداخله (0.73),واژه‌ی جدید
سکه,713,197,action,قبض (0.56),واژه‌ی جدید
تنها,236,197,principle,فقط در صورت (0.63),واژه‌ی جدید
که دادگاه,250,197,concept,نظر دادگاه (0.72),واژه‌ی جدید
می باشند,256,197,role,کسانی که تحت سرپرستی قرار دارند (0.63),واژه‌ی جدید
صورتی,236,197,object,قضیه (0.53),واژه‌ی جدید
قابل واخواهی,205,197,concept,قابل اجرا بودن (0.71),واژه‌ی جدید
نمی شود,257,197,concept,غیرممکن (0.80),واژه‌ی جدید
دادگاه‌های,326,197,object,شعبه دادگاه (0.75),واژه‌ی جدید
نظر کارشناس,264,196,concept,نظر کارشناسان حقوقی (0.82),واژه‌ی جدید
در سال,340,196,role,مضمون (0.60),واژه‌ی جدید
برخلاف,250,196,concept,خلاف (0.72),واژه‌ی جدید
دادخواست آقای,203,196,object,دادخواست (0.86),واژه‌ی جدید
به الزام,231,196,action,الزام (0.87),alias پیشنهادی برای «الزام»
را عیناً,198,196,object,عین (0.70),واژه‌ی جدید
مکلف به,218,195,role,ملزم (0.75),واژه‌ی جدید
استفاده از,293,195,action,استعمال (0.91),alias پیشنهادی برای «استعمال»
اجاره,929,195,object,عقد اجاره (0.87),واژه‌ی جدید
دادگاه ضمن,198,194,action,طی روند دادرسی (0.78),واژه‌ی جدید
عضو معاون,233,194,role,نایب (0.70),واژه‌ی جدید
نماید که,228,194,role,موصی له (0.66),واژه‌ی جدید
مندرجات پرونده,220,194,object,پرونده (0.77),واژه‌ی جدید
خواسته به,243,193,object,طلب (0.77),واژه‌ی جدید
محاسبه,291,193,action,برآورد (0.81),واژه‌ی جدید
در سند,338,193,object,سند (0.83),واژه‌ی جدید
مهلت بیست,208,193,concept,زمان طرح دعوی (0.65),واژه‌ی جدید
تحمل,342,193,concept,تحمل مسئولیت (0.82),واژه‌ی جدید
داشته باشد,218,193,object,موصى به (0.68),واژه‌ی جدید
این موضوع,246,193,object,قضیه (0.67),واژه‌ی جدید
پرداخت هزینه,257,193,object,هزینه (0.86),واژه‌ی جدید
طرفیت خوانده,205,192,action,تبعیت (0.64),واژه‌ی جدید
موافق,218,192,action,تأیید (0.82),واژه‌ی جدید
با وصف,226,192,principle,طبق قانون (0.70),واژه‌ی جدید
عمل آمده,238,192,action,تصرف (0.69),واژه‌ی جدید
های عمومی,247,192,object,خدمات عمومی (0.77),واژه‌ی جدید
منوط به,231,192,role,متعهدله (0.71),واژه‌ی جدید
مذکور را,227,192,object,تبصره (0.66),واژه‌ی جدید
فراهم نماید,200,192,concept,ایجاد تعهد (0.72),واژه‌ی جدید
امتناع,257,191,action,ممانعت (0.76),واژه‌ی جدید
اجرای احکام,282,191,action,نحوه اجرای حکم (0.81),واژه‌ی جدید
اعم,235,191,object,وام (0.66),واژه‌ی جدید
به اظهارات,208,191,action,تحریر اظهارات (0.72),واژه‌ی جدید
قانون مرقوم,214,191,object,قانون جریمه (0.63),واژه‌ی جدید
موازین شرعی,212,191,principle,شرع (0.63),واژه‌ی جدید
قطعیت,227,190,concept,قاطعیت حکم (0.75),واژه‌ی جدید
جامع,213,190,concept,کامل (0.60),واژه‌ی جدید
چهارم,306,190,role,ثالث (0.67),واژه‌ی جدید
عدم استماع,302,190,action,عدم حضور (0.76),واژه‌ی جدید
به دلالت,231,190,concept,صراحت (0.70),واژه‌ی جدید
سابق,299,190,concept,سابقه کیفری (0.71),واژه‌ی جدید
رضایت,274,190,concept,توافق (0.71),واژه‌ی جدید
منتقل,309,190,action,نقل (0.80),واژه‌ی جدید
ضمن عقد,415,190,action,طی تفاهم (0.76),واژه‌ی جدید
مطابقت,201,189,concept,همزمانی (0.74),واژه‌ی جدید
در صورتی,224,189,principle,فقط در صورت (0.81),واژه‌ی جدید
اقدامات,274,189,action,تصرف (0.73),واژه‌ی جدید
صفحه,394,189,role,مضمون (0.74),واژه‌ی جدید
وارد ندانسته,192,189,action,ورود غیرمجاز (0.61),واژه‌ی جدید
صدور گواهی,302,188,action,صادر کردن گواهی (0.94),alias پیشنهادی برای «صادر کردن گواهی»
به طلاق,364,188,concept,طلاق (0.84),واژه‌ی جدید
ثانیا,220,188,concept,زنا (0.58),واژه‌ی جدید
عقد نکاح,427,188,object,عقد ازدواج (0.92),alias پیشنهادی برای «عقد ازدواج»
کیفیت,211,188,concept,ظرفیت (0.66),واژه‌ی جدید
هیچ یک,200,188,action,نفی (0.60),واژه‌ی جدید
صرف نظر,218,188,concept,تجدیدنظر (0.71),واژه‌ی جدید
شرح که,195,188,action,تفسیر (0.57),واژه‌ی جدید
مصون,196,187,concept,محصور (0.63),واژه‌ی جدید
حضور در,280,187,action,عدم حضور (0.73),واژه‌ی جدید
با لحاظ,238,187,principle,لحاظ (0.87),واژه‌ی جدید
قانون حمایت,282,187,object,قانون حمایتی (0.93),alias پیشنهادی برای «قانون حمایتی»
خانم الف,367,187,concept,شخص (0.64),واژه‌ی جدید
مطالبه خسارت,337,187,concept,خسارت (0.81),واژه‌ی جدید
پرونده نظر,190,187,object,پرونده (0.78),واژه‌ی جدید
شعبه دوم,325,187,object,شعبه دادگاه (0.71),واژه‌ی جدید
رای دادگاه,251,187,concept,نظر دادگاه (0.88),alias پیشنهادی برای «نظر دادگاه»
کافی,236,187,concept,خودکار (0.58),واژه‌ی جدید
ایران,328,186,principle,حقوق بشر (0.72),واژه‌ی جدید
مفهوم,217,186,concept,تعریف (0.80),واژه‌ی جدید
به موضوع,232,186,concept,خارج از موضوع (0.75),واژه‌ی جدید
ایرادی,195,185,action,رد (0.65),واژه‌ی جدید
که بموجب,210,185,principle,طبق قانون (0.77),واژه‌ی جدید
درخصوص تجدیدنظرخواهی,190,185,concept,تجدیدنظر (0.83),واژه‌ی جدید
را ثابت,189,185,object,ثابت‌نامه (0.66),واژه‌ی جدید
وحدت,298,185,role,واحد دادگستری (0.66),واژه‌ی جدید
جمیع,198,185,role,مجمع عمومی (0.65),واژه‌ی جدید
مراجعه به,234,185,action,رجوع (0.74),واژه‌ی جدید
در پاسخ,254,185,action,رد (0.73),واژه‌ی جدید
با خوانده,209,184,action,طی آگهی (0.63),واژه‌ی جدید
لایحه تقدیمی,242,184,object,لایحه (0.82),واژه‌ی جدید
از پرداخت,302,184,action,پرداخت (0.86),واژه‌ی جدید
مطابق مقررات,202,184,principle,طبق قانون (0.85),واژه‌ی جدید
بار,274,184,object,برات (0.58),واژه‌ی جدید
ارائه نشده,203,184,concept,غیرمستند (0.68),واژه‌ی جدید
موجهی که,186,184,object,دلایل توجیهی (0.69),واژه‌ی جدید
تجویز,274,183,action,پیشنهاد (0.87),واژه‌ی جدید
دادگاه قرار,205,183,action,قرار (0.81),واژه‌ی جدید
پرونده مشاوره,188,183,action,مشاوره (0.81),واژه‌ی جدید
هر چند,202,183,principle,فقط در صورت (0.59),واژه‌ی جدید
تادیه,441,183,action,تقیید (0.63),واژه‌ی جدید
علیهذا,208,183,concept,سبب (0.54),واژه‌ی جدید
طرفین به,205,183,role,اصحاب دعوی (0.68),واژه‌ی جدید
از زوج,259,183,concept,ازدواج (0.66),واژه‌ی جدید
اعتباری دادنامه,186,183,object,ضمانت‌نامه (0.68),واژه‌ی جدید
مساحت,486,183,concept,ظرفیت (0.69),واژه‌ی جدید
اعلام کرده,285,183,object,اعلامیه حراج (0.66),واژه‌ی جدید
توجهاً,214,183,principle,احتیاط (0.75),واژه‌ی جدید
مخدوش,200,182,concept,تلف (0.70),واژه‌ی جدید
کلیه خسارات,214,182,concept,خسارت (0.70),واژه‌ی جدید
قیمت,473,182,object,هزینه (0.78),واژه‌ی جدید
مورد معامله,381,182,object,معامله (0.85),واژه‌ی جدید
بابت اصل,229,181,concept,اصیل (0.69),واژه‌ی جدید
این استدلال,223,181,action,استدلال (0.82),واژه‌ی جدید
اعتراض به,220,181,action,اعتراض (0.94),alias پیشنهادی برای «اعتراض»
داوران,338,181,action,داوری (0.87),alias پیشنهادی برای «داوری»
حاکی از,215,181,object,شواهد (0.69),واژه‌ی جدید
جاری,220,181,object,هزینه‌های جاری (0.75),واژه‌ی جدید
خلع,486,181,action,خلع ید (0.74),واژه‌ی جدید
اضافه,261,181,object,تبصره (0.70),واژه‌ی جدید
مرحوم,702,181,concept,شخص (0.71),واژه‌ی جدید
واگذار,291,181,action,واگذاری (0.91),alias پیشنهادی برای «واگذاری»
ضرر,292,180,concept,زیان (0.84),واژه‌ی جدید
ارائه شده,221,180,action,پیشنهاد (0.75),واژه‌ی جدید
از دادگاه,263,180,action,ورود به دادگاه (0.78),واژه‌ی جدید
در بخش,259,180,object,بخش‌نامه (0.68),واژه‌ی جدید
جزء,283,180,concept,جزيه (0.70),واژه‌ی جدید
رویه,280,180,principle,رویه قضائی (0.75),واژه‌ی جدید
اعم از,221,180,principle,لحاظ (0.58),واژه‌ی جدید
پایان,283,180,action,ايداع (0.70),واژه‌ی جدید
بند الف,230,180,object,تبصره (0.59),واژه‌ی جدید
به رأی,231,180,object,رأی (0.86),واژه‌ی جدید
قرار داده,225,180,action,قرار (0.71),واژه‌ی جدید
تهران در,196,180,concept,خارج از موضوع (0.60),واژه‌ی جدید
از شقوق,179,179,concept,خارج از موضوع (0.58),واژه‌ی جدید
چرا که,218,178,concept,علت (0.72),واژه‌ی جدید
مدارک ابرازی,189,178,object,اظهارنامه (0.78),واژه‌ی جدید
دادگاه‌های عمومی,270,178,principle,حقوق عمومی (0.77),واژه‌ی جدید
امکان سازش,485,177,action,سازش (0.81),واژه‌ی جدید
در شعبه,240,177,object,شعبه دادگاه (0.73),واژه‌ی جدید
طی لایحه,274,177,object,لایحه (0.84),واژه‌ی جدید
سی,311,177,role,پیک (0.59),واژه‌ی جدید
شورای,299,177,role,شورای حل اختلاف (0.75),واژه‌ی جدید
احتساب خسارات,209,177,object,هزینه خسارت (0.78),واژه‌ی جدید
نامه شماره,274,177,object,شماره پرونده (0.76),واژه‌ی جدید
دعوی خانم,183,176,concept,دعوی (0.84),واژه‌ی جدید
حالی,224,176,concept,احوال (0.65),واژه‌ی جدید
اعلامی,225,176,object,اعلامیه حراج (0.75),واژه‌ی جدید
مستلزم,212,176,concept,لازمه (0.73),واژه‌ی جدید
دعاوی,281,176,action,فصل دعاوی (0.79),واژه‌ی جدید
دادرسی دادگاه,216,176,concept,دادرسی (0.87),واژه‌ی جدید
نظر در,183,176,role,صاحب‌نظر (0.76),واژه‌ی جدید
اینکه به,192,176,principle,طبق قانون (0.64),واژه‌ی جدید
مراتب مذکور,190,176,principle,لحاظ (0.61),واژه‌ی جدید
که وکیل,209,175,role,وکیل (0.81),واژه‌ی جدید
استماع اظهارات,214,175,object,اظهارنامه (0.71),واژه‌ی جدید
قسمت از,254,175,concept,شخص (0.64),واژه‌ی جدید
دادن,223,175,action,بذل (0.72),واژه‌ی جدید
سابقه,319,175,concept,سابقه حقوقی (0.87),alias پیشنهادی برای «سابقه حقوقی»
صریح,215,175,concept,صراحت (0.85),واژه‌ی جدید
مسکن,358,175,object,بنیاد مسکن (0.75),واژه‌ی جدید
خوانده از,203,175,object,موصى به (0.62),واژه‌ی جدید
آن وارد,178,175,action,واردات (0.65),واژه‌ی جدید
به نظریه,225,174,concept,نظریه مشورتی (0.67),واژه‌ی جدید
مقتضی,215,174,concept,معوض (0.68),واژه‌ی جدید
